origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
SLC,-111.9790706,40.7899404,LAS,-115.1537389,36.0839998,134
SLC,-111.9790706,40.7899404,OAK,-122.2197428,37.7125689,134
BWI,-76.6683922,39.1774042,ORD,-87.9073214,41.9741625,133
JFK,-73.77813909999999,40.6413111,BOS,-71.0095602,42.3656132,133
MEM,-89.9791729,35.0420679,DFW,-97.0403352,32.8998091,133
DCA,-77.04023149999999,38.851242,ORD,-87.9073214,41.9741625,132
DFW,-97.0403352,32.8998091,DTW,-83.3553842,42.2161722,132
DTW,-83.3553842,42.2161722,BOS,-71.0095602,42.3656132,132
IAH,-95.3367827,29.9902199,SAT,-98.4683484,29.5311973,132
ORD,-87.9073214,41.9741625,RDU,-78.7879963,35.88007899999999,132
SEA,-122.3088165,47.4502499,GEG,-117.534812,47.62174779999999,132
SLC,-111.9790706,40.7899404,ORD,-87.9073214,41.9741625,132
DEN,-104.6737376,39.8560963,PDX,-122.5950942,45.58976939999999,131
IAD,-77.45653879999999,38.9531162,ATL,-84.4277001,33.6407282,131
LAX,-118.40853,33.9415889,BOS,-71.0095602,42.3656132,131
MSP,-93.2222846,44.8847554,BOS,-71.0095602,42.3656132,131
IAH,-95.3367827,29.9902199,DEN,-104.6737376,39.8560963,130
IND,-86.2955952,39.7168593,MSP,-93.2222846,44.8847554,130
OKC,-97.600556,35.393056,DEN,-104.6737376,39.8560963,130
ORD,-87.9073214,41.9741625,LAS,-115.1537389,36.0839998,130
SAN,-117.1933038,32.7338006,SFO,-122.3789554,37.6213129,130
SLC,-111.9790706,40.7899404,PDX,-122.5950942,45.58976939999999,130
DFW,-97.0403352,32.8998091,EWR,-74.1744624,40.6895314,129
DTW,-83.3553842,42.2161722,LGA,-73.8739659,40.7769271,129
IAH,-95.3367827,29.9902199,SLC,-111.9790706,40.7899404,129
OAK,-122.2197428,37.7125689,LAX,-118.40853,33.9415889,129
PDX,-122.5950942,45.58976939999999,DEN,-104.6737376,39.8560963,129
ATL,-84.4277001,33.6407282,MEM,-89.9791729,35.0420679,128
BOS,-71.0095602,42.3656132,MSP,-93.2222846,44.8847554,128
CID,-91.70697539999999,41.8863861,ORD,-87.9073214,41.9741625,128
IAH,-95.3367827,29.9902199,MIA,-80.2870509,25.7958723,128
DAY,-84.2217719,39.90252419999999,ORD,-87.9073214,41.9741625,127
