icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
KFOE,FOE,FORBES FLD,TOPEKA,USA,329,38.951,-95.664,3519
KFOK,FOK,THE FRANCIS S GABRESKI,WEST HAMPTON BEACH,USA,21,40.844,-72.632,3520
KFRI,FRI,MARSHALL AAF,FORT RILEY,USA,325,39.055,-96.764,3521
KFSI,FSI,HENRY POST AAF,FORT SILL,USA,363,34.65,-98.402,3522
KFSM,FSM,FORT SMITH RGNL,FORT SMITH,USA,143,35.336,-94.367,3523
KFTK,FTK,GODMAN AAF,FORT KNOX,USA,231,37.907,-85.972,3524
KFTW,FTW,FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,USA,217,32.82,-97.362,3525
KFWH,N/A,N/A,FORT WORTH,USA,0,0,0,3526
KFXE,FXE,FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,USA,5,26.197,-80.171,3527
KFYV,FYV,DRAKE FLD,FAYETTEVILLE,USA,382,36.005,-94.17,3528
KGAG,GAG,GAGE,GAGE,USA,678,36.295,-99.776,3529
KGCK,GCK,GARDEN CITY RGNL,GARDEN CITY,USA,881,37.927,-100.724,3530
KGEG,GEG,SPOKANE INTERNATIONAL,SPOKANE,USA,723,47.62,-117.534,3531
KGFA,N/A,N/A,GREAT FALLS,USA,0,0,0,3532
KGFK,GFK,GRAND FORKS INTERNATIONAL,GRAND FORKS,USA,258,47.949,-97.176,3533
KGGG,GGG,EAST TEXAS RGNL,LONGVIEW,USA,112,32.385,-94.711,3534
KGLS,GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,USA,2,29.265,-94.86,3535
KGNT,GNT,GRANTS MILAN MUNI,GRANTS,USA,1988,35.165,-107.901,3536
KGNV,GNV,GAINESVILLE RGNL,GAINESVILLE,USA,47,29.69,-82.272,3537
KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,212,44.485,-88.129,3538
KGRF,GRF,GRAY AAF,FORT LEWIS,USA,93,47.079,-122.581,3539
KGRK,GRK,ROBERT GRAY AAF,KILLEEN,USA,311,31.067,-97.829,3540
KGRR,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,242,42.881,-85.523,3541
KGSB,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,34,35.339,-77.961,3542
KGTB,GTB,WHEELER SACK AAF,FORT DRUM,USA,211,44.056,-75.719,3543
KGTF,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,1121,47.482,-111.371,3544
KGUS,GUS,GRISSOM ARB,PERU,USA,248,40.648,-86.152,3545
KGVT,GVT,MAJORS,GREENVILE,USA,164,33.068,-96.065,3546
KGVW,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,333,38.843,-94.561,3547
KGWO,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,50,33.494,-90.084,3548
KHAR,HAR,N/A,HARRISBURG,USA,0,0,0,3549
KHBR,HBR,HOBART MUNI,HOBART,USA,477,34.991,-99.051,3550
KHFD,HFD,HARTFORD BRAINARD,HARTFORD,USA,6,41.736,-72.65,3551
KHHR,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,21,33.923,-118.335,3552
KHIB,HIB,CHISHOLM HIBBING,HIBBING,USA,413,47.386,-92.839,3553
KHIF,HIF,HILL AFB,OGDEN,USA,1460,41.124,-111.973,3554
KHKY,HKY,HICKORY RGNL,HICKORY,USA,363,35.741,-81.389,3555
KHLN,HLN,HELENA RGNL,HELENA,USA,1182,46.607,-111.983,3556
KHLR,HLR,HOOD AAF,FORT HOOD,USA,282,31.139,-97.714,3557
KHMN,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,1248,32.852,-106.106,3558
KHOB,HOB,LEA CO RGNL,HOBBS,USA,1116,32.688,-103.217,3559
KHON,HON,HURON RGNL,HURON,USA,393,44.385,-98.228,3560
KHOP,HOP,CAMPBELL AAF,HOPKINSVILLE,USA,175,36.668,-87.496,3561
KHOU,HOU,WILLIAM P HOBBY,HOUSTON,USA,15,29.645,-95.279,3562
KHPN,HPN,WESTCHESTER CO,WHITE PLAINS,USA,134,41.067,-73.707,3563
KHRL,HRL,VALLEY INTERNATIONAL,HARLINGEN,USA,11,26.228,-97.654,3564
KHRO,HRO,BOONE CO,HARRISON,USA,417,36.261,-93.155,3565
KHST,HST,HOMESTEAD ARB,HOMESTEAD,USA,3,25.488,-80.384,3567
KHTB,N/A,N/A,CHARLESTON,USA,0,0,0,3568
KHTL,HTL,ROSCOMMON CO,HOUGHTON LAKE,USA,351,44.36,-84.671,3569
KHUA,HUA,REDSTONE AAF,REDSTONE,USA,209,34.679,-86.685,3570
KHUF,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,USA,180,39.451,-87.307,3571
KHUL,HUL,HOULTON INTERNATIONAL,HOULTON,USA,150,46.123,-67.792,3572
KHVR,HVR,HAVRE CITY CO,HAVRE,USA,790,48.543,-109.762,3573
KHWO,HWO,NORTH PERRY,HOLLYWOOD,USA,3,26.001,-80.24,3574
KIAB,IAB,MC CONNELL AFB,WICHITA,USA,418,37.623,-97.267,3575
KIAD,IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,96,38.944,-77.456,3576
KIAG,IAG,NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,USA,180,43.107,-78.946,3577
KIAH,IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,30,29.98,-95.34,3578
KICT,ICT,WICHITA MID CONTINENT,WICHITA,USA,407,37.65,-97.433,3579
KIKK,IKK,GREATER KANKAKEE,KANKAKEE,USA,193,41.071,-87.846,3580
KIKR,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,KIRTLAND A.F.B.,USA,1633,35.04,-106.609,3581
KILG,ILG,NEW CASTLE CO,WILMINGTON,USA,25,39.679,-75.606,3582
KILM,ILM,WILMINGTON INTERNATIONAL,WILMINGTON,USA,10,34.271,-77.903,3583
KIND,IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,USA,243,39.717,-86.294,3584
KINJ,N/A,N/A,SANTA ANA,USA,0,0,0,3585
KINK,INK,WINKLER CO,WINK,USA,860,31.779,-103.201,3586
KINL,INL,FALLS INTERNATIONAL,INTERNATIONAL FALLS,USA,362,48.566,-93.403,3587
KINS,INS,INDIAN SPRINGS AF AUX,INDIAN SPRINGS,USA,955,36.587,-115.673,3588
KINT,INT,SMITH REYNOLDS,WINSTON-SALEM,USA,296,36.134,-80.222,3589
KIPL,IPL,IMPERIAL CO,IMPERIAL,USA,-17,32.834,-115.579,3590
KIPT,IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,USA,162,41.242,-76.921,3591
