icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CYFB,YFB,IQALUIT,IQALUIT,CANADA,34,63.756,-68.556,130
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,21,45.869,-66.532,131
CYFE,N/A,FORESTVILLE,FORESTVILLE,CANADA,9,48.746,-69.097,132
CYFL,N/A,N/A,FORT RELIANCE,CANADA,0,0,0,133
CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,304,54.678,-101.682,134
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,161,61.181,-113.69,135
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,170,61.76,-121.237,136
CYGA,N/A,N/A,GAGNON,CANADA,0,0,0,137
CYGK,YGK,KINGSTON,KINGSTON,CANADA,93,44.225,-76.597,138
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,195,53.625,-77.704,139
CYGP,YGP,GASPE,GASPE,CANADA,33,48.775,-64.479,140
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,349,49.778,-86.939,141
CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,11,47.425,-61.778,142
CYGT,YGT,N/A,IGLOOLIK,CANADA,0,0,0,143
CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,20,55.283,-77.767,144
CYGX,YGX,GILLAM,GILLAM,CANADA,144,56.35,-94.7,145
CYGY,N/A,N/A,DECEPTION,CANADA,0,0,0,146
CYGZ,YGZ,N/A,GRISE FIORD,CANADA,0,0,0,147
CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,359,52.817,-102.311,148
CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,413,49.832,-92.744,149
CYHE,N/A,N/A,HOPE,CANADA,0,0,0,150
CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,36,70.763,-117.806,151
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,47,68.636,-95.85,152
CYHM,YHM,HAMILTON,HAMILTON,CANADA,238,43.173,-79.935,153
CYHO,YHO,N/A,HOPEDALE,CANADA,0,0,0,154
CYHU,YHU,ST HUBERT,MONTREAL,CANADA,28,45.517,-73.417,155
CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,166,60.84,-115.783,156
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,146,44.881,-63.509,157
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,430,48.774,-91.639,158
CYIO,YIO,POND INLET,POND INLET,CANADA,56,72.683,-77.967,159
CYIV,YIV,N/A,ISLAND LAKE,CANADA,0,0,0,160
CYJA,N/A,N/A,JASPER,CANADA,0,0,0,161
CYJN,YJN,ST JEAN,ST. JEAN,CANADA,42,45.294,-73.281,162
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,26,48.544,-58.55,163
CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,346,50.702,-120.442,164
CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,317,43.459,-80.384,165
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,521,54.805,-66.805,166
CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,695,51.517,-109.181,167
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,199,43.862,-79.37,168
CYLA,N/A,N/A,LANGARA,CANADA,0,0,0,169
CYLC,YLC,N/A,LAKE HARBOUR,CANADA,0,0,0,170
CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,447,47.82,-83.346,171
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,481,54.125,-108.523,172
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,669,53.309,-110.072,173
CYLO,N/A,N/A,SHILO,CANADA,0,0,0,174
CYLT,YLT,ALERT,ALERT,CANADA,31,82.518,-62.281,175
CYLW,YLW,KELOWNA,KELOWNA,CANADA,430,49.956,-119.378,176
CYLY,N/A,N/A,LYTTON,CANADA,0,0,0,177
CYMA,YMA,MAYO,MAYO,CANADA,504,63.617,-135.867,178
CYMD,N/A,N/A,MOULD BAY,CANADA,0,0,0,179
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,577,50.33,-105.559,180
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,370,56.653,-111.222,181
CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,10,51.291,-80.608,182
CYMR,N/A,N/A,MERRY ISLAND,CANADA,0,0,0,183
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,201,46.274,-75.99,184
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,83,45.68,-74.039,185
